agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recent_placement_score,fit_trend,mean_response_length,recommendation_rate,overall_sentiment_score,mean_competency_score,concern_indicator_count,concern_flag,misalignment_flag,most_helpful_polarity,least_helpful_polarity,strong_supervision_helpful_pct,strong_supervision_least_pct,direct_practice_opportunity_helpful_pct,direct_practice_opportunity_least_pct,administrative_overload_helpful_pct,administrative_overload_least_pct,organizational_structure_helpful_pct,organizational_structure_least_pct,learning_environment_helpful_pct,learning_environment_least_pct,social_justice_alignment_helpful_pct,social_justice_alignment_least_pct,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,felt_prepared,learning_goals_met,prepared_for_practice,supervision_frequency,supervision_quality,comments_supervisor_polarity,other_comments_polarity,recommend_reason_polarity,agency_competency_1_mean,agency_competency_2_mean,agency_competency_3_mean,agency_competency_4_mean,agency_competency_5_mean,agency_competency_6_mean,agency_competency_7_mean,agency_competency_8_mean,agency_competency_9_mean
catholic charities,Catholic Charities,4,sufficient,2.9,2.87,stable,31.2,0.25,0.0332,91.04,4,review recommended,score-narrative mismatch,0.3528,-0.2186,50.0,0.0,0.0,25.0,25.0,50.0,0.0,0.0,75.0,25.0,25.0,0.0,learned:3 | intake:3 | learning:2 | issues:2 | site:2 | resource:2 | referrals:2 | coordinators:2 | able:2 | parts:1 | placement:1 | enough:1 | follow:1 | supervision:1 | actually:1 | happened:1 | schedule:1 | biggest:1 | help:1 | youth:1,site learned:2 | learned resource:2 | resource referrals:2 | intake coordinators:2 | parts placement:1 | placement learning:1 | learning enough:1 | enough follow:1 | follow learned:1 | learned supervision:1 | supervision actually:1 | actually happened:1 | happened schedule:1 | help issues:1 | referrals youth:1,onboarding:1 | process:1 | clearer:1 | admin:1 | work:1 | enough:1 | hands:1 | practice:1 | communication:1 | slightly:1 | difficult:1 | due:1 | agency:1 | site:1 | caused:1 | miscommunication:1 | end:1 | moved:1 | slower:1 | frustration:1,onboarding process:1 | process clearer:1 | admin work:1 | communication slightly:1 | slightly difficult:1 | difficult due:1 | due agency:1 | agency site:1 | site caused:1 | caused miscommunication:1 | miscommunication end:1 | end moved:1 | moved slower:1 | frustration shadowing:1 | shadowing needed:1,3.25,3.5,4.0,2.5,3.5,2.75,3.75,3.25,2.75,3.25,2.5,3.0,3.0,2.75,-0.0973,0.2171,-0.0881,91.77,92.02,88.18,89.48,90.23,92.25,94.33,89.86,91.22
peachtree pediatric therapy center,Peachtree Pediatric Therapy Center,4,sufficient,3.2,3.0,stable,31.2,0.25,0.028,88.43,4,review recommended,score-narrative mismatch,0.4703,-0.1003,25.0,0.0,0.0,50.0,0.0,75.0,0.0,0.0,75.0,25.0,25.0,0.0,learned:3 | issues:2 | site:2 | actually:2 | seeing:2 | first:2 | hand:2 | times:2 | resource:1 | navigation:1 | advocacy:1 | see:1 | classroom:1 | material:1 | shows:1 | practicum:1 | ethical:1 | dilemmas:1 | getting:1 | learn:1,site learned:2 | first hand:2 | learned resource:1 | resource navigation:1 | navigation advocacy:1 | advocacy actually:1 | actually see:1 | see classroom:1 | classroom material:1 | material shows:1 | shows practicum:1 | seeing ethical:1 | ethical dilemmas:1 | dilemmas first:1 | hand getting:1,shadowing:2 | needed:2 | practice:2 | frustration:1 | chances:1 | try:1 | skills:1 | issues:1 | managment:1 | effected:1 | desire:1 | attend:1 | hours:1 | mostly:1 | limited:1 | direct:1 | admin:1 | work:1 | enough:1 | hands:1,frustration shadowing:1 | shadowing needed:1 | issues managment:1 | managment effected:1 | effected desire:1 | desire attend:1 | attend needed:1 | needed hours:1 | mostly shadowing:1 | shadowing limited:1 | limited direct:1 | direct practice:1 | admin work:1,3.0,3.5,3.0,3.75,3.25,3.25,3.0,3.0,2.0,3.25,3.0,2.75,3.5,3.5,-0.2955,0.2278,-0.1622,91.69,86.82,85.6,86.66,86.46,87.78,91.17,89.85,89.84
green apple behavioral health,Green Apple Behavioral Health,3,sufficient,3.4,,stable,20.3,0.33,0.1899,92.76,4,review recommended,no flag,0.3028,-0.2809,33.3,33.3,0.0,33.3,0.0,66.7,33.3,33.3,33.3,33.3,0.0,0.0,work:2 | supervision:1 | inconsistent:1 | affected:1 | learning:1 | enough:1 | feedback:1 | know:1 | improving:1 | wanted:1 | guidance:1 | understand:1 | bigger:1 | systems:1 | biggest:1 | help:1 | crisis:1 | support:1 | safety:1 | planning:1,supervision inconsistent:1 | inconsistent affected:1 | affected learning:1 | learning enough:1 | enough feedback:1 | feedback know:1 | know improving:1 | improving wanted:1 | wanted guidance:1 | guidance understand:1 | understand bigger:1 | bigger systems:1 | systems work:1 | help work:1 | work crisis:1,shadowing:2 | needed:2 | mostly:1 | limited:1 | direct:1 | practice:1 | difficulty:1 | getting:1 | feedback:1 | hardest:1 | chances:1 | try:1 | skills:1 | practicum:1 | reactive:1 | than:1 | educational:1 | logistics:1 | office:1 | share:1,mostly shadowing:1 | shadowing limited:1 | limited direct:1 | direct practice:1 | practice difficulty:1 | difficulty getting:1 | getting feedback:1 | feedback needed:1 | hardest shadowing:1 | shadowing needed:1 | skills practicum:1 | practicum reactive:1 | reactive than:1 | than educational:1 | logistics office:1,4.33,3.0,3.67,3.33,3.67,3.33,3.0,3.33,3.33,3.33,3.33,2.67,4.0,3.67,0.4588,0.2202,0.2488,83.01,93.3,94.49,96.33,93.18,90.68,96.16,94.05,93.62
postpartum resource group,Postpartum Resource Group,3,sufficient,3.4,,stable,25.7,0.67,0.2717,90.75,4,review recommended,no flag,0.6481,0.0278,33.3,33.3,0.0,0.0,33.3,66.7,0.0,0.0,33.3,66.7,66.7,0.0,goals:2 | biggest:1 | help:1 | included:1 | group:1 | facilitation:1 | resource:1 | navigation:1 | community:1 | referrals:1 | instead:1 | observing:1 | opportunity:1 | work:1 | various:1 | aspects:1 | nonprofit:1 | agency:1 | allowed:1 | develop:1,help included:1 | included group:1 | group facilitation:1 | facilitation resource:1 | resource navigation:1 | navigation community:1 | community referrals:1 | referrals instead:1 | opportunity work:1 | work various:1 | various aspects:1 | aspects nonprofit:1 | nonprofit agency:1 | agency allowed:1 | allowed develop:1,shadowing:1 | needed:1 | chances:1 | try:1 | skills:1 | took:1 | administrative:1 | tasks:1 | primarily:1 | educational:1 | minimal:1 | feedback:1 | came:1 | late:1 | useful:1 | weeks:1,shadowing needed:1 | took administrative:1 | administrative tasks:1 | tasks primarily:1 | primarily educational:1 | educational minimal:1 | feedback came:1 | came late:1 | late useful:1 | useful weeks:1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.67,3.33,2.33,3.67,3.67,4.33,3.0,0.0012,0.1278,0.5537,94.18,91.1,90.59,88.7,89.82,94.59,90.61,88.17,89.04
billings public schools,Billings Public Schools,7,sufficient,2.49,1.3,declining,22.1,0.43,0.195,90.34,3,review recommended,no flag,0.4744,-0.0195,28.6,16.7,0.0,16.7,0.0,66.7,28.6,33.3,71.4,33.3,14.3,0.0,learned:3 | work:2 | real:2 | weeks:2 | issues:2 | site:2 | biggest:2 | help:2 | appreciated:1 | resource:1 | navigation:1 | program:1 | planning:1 | connect:1 | class:1 | content:1 | practice:1 | support:1 | erica:1 | house:1,site learned:2 | appreciated work:1 | work resource:1 | resource navigation:1 | navigation program:1 | program planning:1 | planning connect:1 | connect class:1 | class content:1 | content practice:1 | support erica:1 | erica house:1 | house behavior:1 | behavior interventionist:1 | interventionist able:1,needed:3 | shadowing:2 | chances:2 | try:2 | skills:2 | hardest:1 | spent:1 | guessing:1 | doing:1 | wish:1 | accessed:1 | students:1 | schedules:1 | school:1 | database:1 | understand:1 | why:1 | inconsistent:1 | supervision:1 | honestly:1,shadowing needed:2 | hardest shadowing:1 | skills spent:1 | spent guessing:1 | guessing doing:1 | wish accessed:1 | accessed students:1 | students schedules:1 | schedules school:1 | school database:1 | database understand:1 | understand why:1 | inconsistent supervision:1 | honestly needed:1 | client contact:1,2.0,3.14,3.14,3.0,3.14,2.29,3.0,2.71,2.57,2.43,2.57,2.29,2.71,2.43,0.0678,0.3777,0.0746,85.25,90.01,91.56,91.67,89.25,89.47,93.01,91.93,90.89
988 tribal response,988 Tribal Response,5,sufficient,2.84,2.4,declining,23.2,0.2,0.1716,89.8,3,review recommended,no flag,0.5163,-0.1562,20.0,0.0,0.0,40.0,20.0,60.0,0.0,0.0,60.0,20.0,20.0,0.0,helped:3 | able:3 | work:2 | build:2 | confidence:2 | levels:2 | focus:2 | community:1 | outreach:1 | health:1 | fairs:1 | regular:1 | supervision:1 | case:1 | consultation:1 | grow:1 | professional:1 | judgment:1 | reinforced:1 | person:1,work community:1 | community outreach:1 | outreach health:1 | health fairs:1 | fairs helped:1 | helped build:1 | build confidence:1 | regular supervision:1 | supervision case:1 | case consultation:1 | consultation helped:1 | helped grow:1 | grow professional:1 | professional judgment:1 | judgment confidence:1,work:3 | needed:2 | office:2 | tasks:2 | frustration:1 | shadowing:1 | chances:1 | try:1 | skills:1 | emotional:1 | intensity:1 | limited:1 | process:1 | secondary:1 | trauma:1 | busy:1 | weeks:1 | admin:1 | enough:1 | hands:1,frustration shadowing:1 | shadowing needed:1 | emotional intensity:1 | intensity work:1 | work limited:1 | limited process:1 | process secondary:1 | secondary trauma:1 | trauma busy:1 | busy weeks:1 | admin work:1 | basic office:1 | office work:1 | work tasks:1 | tasks paying:1,2.4,3.0,3.2,3.0,3.2,3.0,3.0,3.0,2.4,1.8,3.0,2.6,3.6,3.2,0.3864,0.2503,-0.139,90.66,86.8,87.86,91.29,90.39,87.33,93.32,90.75,89.78
littleton public schools,Littleton Public Schools,3,sufficient,2.93,2.2,declining,41.7,0.33,0.3095,88.3,3,review recommended,no flag,0.7886,-0.1454,33.3,0.0,0.0,33.3,33.3,66.7,0.0,33.3,66.7,33.3,0.0,0.0,experience:4 | social:3 | work:3 | school:2 | coordination:2 | resource:2 | real:1 | world:1 | valuable:1 | supervisor:1 | phenomenal:1 | took:1 | teach:1 | aspects:1 | profession:1 | entire:1 | educational:1 | thought:1 | provoking:1 | challenging:1,social work:2 | school social:2 | real world:1 | world experience:1 | experience valuable:1 | valuable supervisor:1 | supervisor phenomenal:1 | phenomenal experience:1 | experience took:1 | took teach:1 | teach aspects:1 | aspects social:1 | work profession:1 | profession school:1 | work entire:1,school:3 | parts:2 | learning:2 | agreement:2 | work:2 | new:2 | practice:2 | don:1 | apply:1 | social:1 | discussed:1 | having:1 | discussions:1 | agency:1 | fact:1 | elementary:1 | building:1 | settling:1 | every:1 | staff:1,parts learning:1 | learning agreement:1 | agreement don:1 | don apply:1 | apply school:1 | school social:1 | social work:1 | work discussed:1 | discussed parts:1 | parts agreement:1 | agreement having:1 | having discussions:1 | discussions learning:1 | learning agency:1 | agency fact:1,2.67,3.33,3.0,3.67,3.33,2.67,2.67,3.33,2.67,3.0,2.67,2.33,3.67,3.0,0.3446,0.5098,0.0498,85.71,89.52,86.38,89.84,85.05,86.18,93.02,90.39,88.64
behavioral health resources,Behavioral Health Resources,12,sufficient,3.02,2.32,declining,26.1,0.33,0.1372,88.96,3,review recommended,no flag,0.696,-0.2046,25.0,0.0,16.7,41.7,25.0,66.7,0.0,8.3,50.0,25.0,16.7,0.0,appreciated:6 | work:4 | support:4 | community:3 | help:3 | learning:3 | included:3 | instead:3 | observing:3 | honestly:2 | real:2 | exposure:2 | practicum:2 | learn:2 | program:2 | meetings:2 | referrals:2 | treatment:2 | planning:2 | biggest:2,honestly appreciated:2 | real exposure:2 | appreciated included:2 | meeting clients:2 | appreciated real:1 | exposure community:1 | community outreach:1 | outreach community:1 | community assessments:1 | assessments actually:1 | actually see:1 | see classroom:1 | classroom material:1 | material shows:1 | shows practicum:1,practice:7 | work:6 | frustration:3 | admin:3 | enough:3 | hands:3 | social:3 | went:2 | paperwork:2 | instead:2 | actual:2 | hard:2 | practicum:2 | educational:2 | needed:2 | client:2 | contact:2 | fewer:2 | office:2 | tasks:2,admin work:3 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | social work:2 | frustration went:1 | frustration admin:1 | clients showed:1 | showed lost:1 | lost out:1,3.17,3.33,3.42,3.33,3.17,3.17,3.25,2.83,2.92,2.83,3.0,2.75,3.5,3.0,-0.0143,0.1979,0.0109,85.32,89.41,88.67,90.25,86.67,88.02,93.6,88.93,89.81
blackfeet community college,Blackfeet Community College,13,sufficient,3.03,2.2,declining,21.3,0.54,0.2098,90.23,3,review recommended,no flag,0.3972,-0.2346,7.7,8.3,23.1,25.0,0.0,41.7,7.7,16.7,61.5,25.0,23.1,0.0,helped:4 | work:4 | learned:4 | meetings:3 | practice:3 | coordination:3 | issues:3 | site:3 | group:2 | tracking:2 | actually:2 | see:2 | classroom:2 | material:2 | shows:2 | practicum:2 | biggest:2 | help:2 | resource:2 | health:2,site learned:3 | actually see:2 | see classroom:2 | classroom material:2 | material shows:2 | shows practicum:2 | hands helpfulness:1 | helpfulness employees:1 | employees supervisors:1 | supervisors msw:1 | msw outside:1 | outside group:1 | helped work:1 | work data:1 | data tracking:1,needed:3 | shadowing:2 | chances:2 | try:2 | skills:2 | doing:2 | frustration:2 | experience:2 | expectations:2 | admin:2 | work:2 | enough:2 | hands:2 | practice:2 | job:1 | site:1 | spent:1 | guessing:1 | don:1 | think:1,shadowing needed:2 | admin work:2 | job site:1 | skills spent:1 | spent guessing:1 | guessing doing:1 | frustration shadowing:1 | don think:1 | think experience:1 | experience practicum:1 | practicum educational:1 | unclear expectations:1 | expectations start:1 | times expectations:1 | expectations clear:1,3.0,3.46,3.69,3.0,3.15,3.0,3.15,3.38,2.77,3.08,2.92,3.15,3.08,2.92,0.1757,0.3442,0.3666,86.5,90.12,91.8,91.48,89.8,89.53,92.7,90.93,89.21
chippewa cree tribe human services division,Chippewa Cree Tribe Human Services Division,4,sufficient,3.1,3.1,stable,20.8,0.75,0.2944,90.76,3,review recommended,no flag,0.4282,0.0738,0.0,25.0,50.0,25.0,0.0,50.0,0.0,25.0,50.0,50.0,0.0,0.0,school:2 | meetings:2 | best:1 | exposure:1 | program:1 | development:1 | working:1 | staff:1 | willing:1 | answer:1 | questions:1 | appreciated:1 | issues:1 | site:1 | learned:1 | crisis:1 | response:1 | iep:1 | biggest:1 | help:1,best exposure:1 | exposure program:1 | program development:1 | development working:1 | working staff:1 | staff willing:1 | willing answer:1 | answer questions:1 | appreciated issues:1 | site learned:1 | learned crisis:1 | crisis response:1 | response school:1 | school iep:1 | iep meetings:1,chances:2 | practice:2 | wanted:1 | independently:1 | hardest:1 | shadowing:1 | needed:1 | try:1 | skills:1 | went:1 | paperwork:1 | instead:1 | actual:1 | slowed:1 | down:1 | learning:1 | lack:1 | structure:1 | clear:1 | expectations:1,wanted chances:1 | chances practice:1 | practice independently:1 | hardest shadowing:1 | shadowing needed:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | practice slowed:1 | slowed down:1 | down learning:1 | lack structure:1 | structure clear:1 | clear expectations:1,3.5,3.0,3.25,2.75,3.25,2.75,2.5,3.25,3.0,2.75,3.25,1.75,3.75,4.0,0.3636,0.2671,0.3391,90.07,93.39,86.8,90.05,89.38,91.55,94.21,90.18,91.22
