agency_name,response_count,agency_name_display,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams
3 rivers mental health center,13,3 Rivers Mental Health Center,work:6 | clients:4 | practice:4 | learning:3 | appreciated:2 | documentation:2 | motivational:2 | interviewing:2 | coordination:2 | helped:2 | confidence:2 | exposure:2 | agency:2 | client:2 | experience:2 | community:2 | systems:2 | having:2 | team:2 | practicum:2,motivational interviewing:2 | appreciated work:1 | work documentation:1 | documentation motivational:1 | interviewing peer:1 | peer coordination:1 | coordination helped:1 | helped build:1 | build confidence:1 | helped real:1 | real exposure:1 | exposure documentation:1 | documentation home:1 | home visits:1 | visits cps:1,work:5 | limited:3 | company:3 | practice:3 | learning:3 | practicum:2 | educational:2 | too:2 | case:2 | intense:2 | crisis:2 | management:2 | experience:2 | direct:2 | exposure:2 | concerns:2 | shadowing:1 | needed:1 | chances:1 | try:1,shadowing needed:1 | skills practicum:1 | practicum reactive:1 | reactive than:1 | than educational:1 | hardest times:1 | times too:1 | too case:1 | case documentation:1 | work valuable:1 | valuable emotionally:1 | emotionally intense:1 | intense crisis:1 | crisis heavy:1 | heavy periods:1
307 therapy,8,307 Therapy,helped:3 | work:3 | planning:3 | assessment:3 | crisis:2 | see:2 | clinical:2 | practice:2 | together:2 | intervention:2 | learned:2 | support:1 | safety:1 | build:1 | confidence:1 | actually:1 | classroom:1 | material:1 | shows:1 | practicum:1,helped work:1 | work crisis:1 | crisis support:1 | support safety:1 | safety planning:1 | planning helped:1 | helped build:1 | build confidence:1 | confidence actually:1 | actually see:1 | see classroom:1 | classroom material:1 | material shows:1 | shows practicum:1 | growth clinical:1,enough:3 | one:3 | learning:2 | frustration:2 | travel:2 | honestly:1 | hardest:1 | check:1 | ins:1 | steady:1 | amount:1 | responsibility:1 | skills:1 | already:1 | agreement:1 | instruction:1 | weeks:1 | observational:1 | than:1 | active:1,honestly hardest:1 | hardest check:1 | check ins:1 | ins steady:1 | steady enough:1 | enough amount:1 | amount responsibility:1 | skills already:1 | already learning:1 | learning agreement:1 | agreement instruction:1 | frustration weeks:1 | weeks observational:1 | observational than:1 | than active:1
988 suicide & crisis lifeline center,4,988 Suicide & Crisis Lifeline Center,learned:2 | work:2 | group:1 | facilitation:1 | resource:1 | community:1 | meetings:1 | britney:1 | marx:1 | attentive:1 | detailed:1 | instructions:1 | training:1 | doing:1 | own:1 | successful:1 | strong:1 | exposure:1 | direct:1 | practice:1,learned group:1 | group facilitation:1 | facilitation resource:1 | resource work:1 | work community:1 | community meetings:1 | britney marx:1 | marx attentive:1 | attentive detailed:1 | detailed instructions:1 | instructions training:1 | training doing:1 | doing work:1 | work own:1 | own successful:1,weeks:1 | slower:1 | than:1 | others:1 | strong:1 | placement:1 | times:1 | expectations:1 | clear:1 | fewer:1 | opportunities:1 | observe:1 | experienced:1 | practitioners:1 | live:1,weeks slower:1 | slower than:1 | than others:1 | others strong:1 | strong placement:1 | times expectations:1 | expectations clear:1 | fewer opportunities:1 | opportunities observe:1 | observe experienced:1 | experienced practitioners:1 | practitioners live:1
988 tribal response,5,988 Tribal Response,helped:3 | able:3 | work:2 | build:2 | confidence:2 | levels:2 | focus:2 | community:1 | outreach:1 | health:1 | fairs:1 | regular:1 | supervision:1 | case:1 | consultation:1 | grow:1 | professional:1 | judgment:1 | reinforced:1 | person:1,work community:1 | community outreach:1 | outreach health:1 | health fairs:1 | fairs helped:1 | helped build:1 | build confidence:1 | regular supervision:1 | supervision case:1 | case consultation:1 | consultation helped:1 | helped grow:1 | grow professional:1 | professional judgment:1 | judgment confidence:1,work:3 | needed:2 | office:2 | tasks:2 | one:1 | frustration:1 | shadowing:1 | chances:1 | try:1 | skills:1 | emotional:1 | intensity:1 | limited:1 | process:1 | secondary:1 | trauma:1 | busy:1 | weeks:1 | too:1 | admin:1,frustration shadowing:1 | shadowing needed:1 | emotional intensity:1 | intensity work:1 | work limited:1 | limited process:1 | process secondary:1 | secondary trauma:1 | trauma busy:1 | busy weeks:1 | too admin:1 | admin work:1 | basic office:1 | office work:1 | work tasks:1
aaniiih nakoda college,9,Aaniiih Nakoda College,work:7 | new:4 | skills:4 | appreciated:3 | planning:3 | practice:3 | able:2 | helped:2 | community:2 | partnerships:2 | instead:2 | safety:2 | build:2 | confidence:2 | documentation:2 | employees:2 | directly:1 | staff:1 | colleagues:1 | brought:1,community partnerships:2 | appreciated work:2 | safety planning:2 | build confidence:2 | new employees:2 | able work:1 | work directly:1 | directly staff:1 | staff colleagues:1 | helped brought:1 | brought community:1 | partnerships instead:1 | instead doing:1 | doing support:1 | support tasks:1,practice:4 | needed:3 | therapeutic:2 | practicum:2 | client:2 | tasks:2 | tools:2 | evaluation:2 | work:2 | hindsight:1 | wish:1 | believe:1 | effective:1 | working:1 | post:1 | traumatic:1 | growth:1 | able:1 | apply:1 | interventions:1,hindsight wish:1 | wish therapeutic:1 | therapeutic practicum:1 | practicum believe:1 | believe effective:1 | effective working:1 | working post:1 | post traumatic:1 | traumatic growth:1 | growth able:1 | able apply:1 | apply therapeutic:1 | therapeutic interventions:1 | interventions professional:1 | professional skills:1
abbie shelter,13,Abbie Shelter,work:6 | meetings:5 | program:4 | practice:4 | helped:3 | learning:3 | included:2 | planning:2 | data:2 | evaluation:2 | environment:2 | leadership:2 | direct:2 | own:2 | health:2 | structure:2 | wanted:2 | guidance:2 | understand:2 | bigger:2,wanted guidance:2 | guidance understand:2 | understand bigger:2 | bigger systems:2 | systems work:2 | build confidence:2 | helped included:1 | included community:1 | community planning:1 | planning data:1 | data tracking:1 | tracking program:1 | program evaluation:1 | evaluation instead:1 | supportive work:1,practice:4 | learning:3 | difficult:3 | direct:3 | one:2 | frustration:2 | instead:2 | work:2 | scheduling:2 | times:2 | needed:2 | mostly:2 | flexibility:2 | shadowing:2 | process:2 | went:1 | paperwork:1 | actual:1 | hard:1 | grow:1,direct practice:3 | scheduling difficult:2 | difficult times:2 | frustration went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | practice hard:1 | hard grow:1 | grow structure:1 | structure loose:1 | disconnected work:1 | work solo:1 | period executive:1
acenda integrated health,4,Acenda Integrated Health,planning:2 | experience:2 | assessment:2 | learned:1 | safety:1 | structure:1 | uneven:1 | times:1 | field:1 | study:1 | gained:1 | outreach:1 | advocacy:1 | relationship:1 | building:1 | wanted:1 | guidance:1 | discharge:1 | gave:1 | structured:1,learned safety:1 | safety planning:1 | planning structure:1 | structure uneven:1 | uneven times:1 | field study:1 | gained experience:1 | experience outreach:1 | outreach advocacy:1 | advocacy relationship:1 | relationship building:1 | building wanted:1 | wanted guidance:1 | discharge planning:1 | planning gave:1,shadowing:1 | than:1 | doing:1 | working:1 | less:1 | money:1 | enough:1 | guidance:1 | practicum:1 | student:1 | brief:1 | contact:1 | educational:1 | wanted:1 | continuity:1 | clients:1,shadowing than:1 | than doing:1 | working less:1 | less money:1 | enough guidance:1 | guidance practicum:1 | practicum student:1 | brief contact:1 | contact educational:1 | educational wanted:1 | wanted continuity:1 | continuity clients:1
affordable housing trust fund,6,Affordable Housing Trust Fund,work:4 | helped:3 | learned:2 | wanted:2 | learning:2 | social:2 | planning:2 | practice:2 | community:1 | testimony:1 | prep:1 | committee:1 | meetings:1 | build:1 | confidence:1 | basics:1 | case:1 | management:1 | lean:1 | slow:1,social work:2 | helped work:1 | work community:1 | community testimony:1 | testimony prep:1 | prep committee:1 | committee meetings:1 | meetings helped:1 | helped build:1 | build confidence:1 | learned basics:1 | basics case:1 | case management:1 | wanted lean:1 | lean slow:1,office:3 | tasks:3 | needed:2 | client:2 | contact:2 | fewer:2 | one:1 | frustration:1 | onboarding:1 | took:1 | too:1 | long:1 | hard:1 | producing:1 | times:1 | disconnected:1 | didn:1 | end:1 | going:1 | covid:1,client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | frustration needed:1 | onboarding took:1 | took too:1 | too long:1 | hard producing:1 | producing times:1 | times disconnected:1 | disconnected didn:1 | didn end:1 | end going:1 | going office:1
ag worker health and services,7,Ag Worker Health And Services,work:4 | learning:3 | biggest:2 | help:2 | appreciated:2 | guidance:2 | practicum:2 | real:1 | exposure:1 | resource:1 | referrals:1 | intakes:1 | learn:1 | hotline:1 | support:1 | documentation:1 | mobile:1 | outreach:1 | debrief:1 | flexibility:1,help real:1 | real exposure:1 | exposure resource:1 | resource referrals:1 | referrals intakes:1 | appreciated learn:1 | learn hotline:1 | hotline support:1 | support documentation:1 | documentation mobile:1 | mobile outreach:1 | outreach debrief:1 | guidance flexibility:1 | flexibility organization:1 | supervision inconsistent:1,too:4 | practice:3 | admin:2 | work:2 | enough:2 | hands:2 | patients:2 | one:1 | frustration:1 | went:1 | repeat:1 | documentation:1 | limited:1 | opportunities:1 | apply:1 | skills:1 | directly:1 | inconsistent:1 | supervision:1 | first:1,too admin:2 | admin work:2 | frustration too:1 | too went:1 | went repeat:1 | repeat documentation:1 | limited opportunities:1 | opportunities apply:1 | apply skills:1 | skills directly:1 | directly inconsistent:1 | inconsistent supervision:1 | supervision first:1 | first weeks:1 | weeks unstructured:1
alaska family services,6,Alaska Family Services,team:3 | help:3 | gained:2 | families:2 | good:2 | practice:2 | community:2 | better:2 | constant:1 | feedback:1 | willingness:1 | answer:1 | questions:1 | anytime:1 | needed:1 | support:1 | learned:1 | writing:1 | technically:1 | unemotionally:1,constant feedback:1 | feedback willingness:1 | willingness team:1 | team answer:1 | answer questions:1 | questions help:1 | help anytime:1 | anytime needed:1 | needed help:1 | help support:1 | learned writing:1 | writing technically:1 | technically unemotionally:1 | unemotionally gained:1 | gained knowledge:1,work:2 | visits:2 | slow:2 | don:1 | negatives:1 | experience:1 | rounded:1 | educational:1 | complaint:1 | becomes:1 | similar:1 | completed:1 | several:1 | tends:1 | follow:1 | formula:1 | little:1 | tedious:1 | industrious:1 | student:1,don negatives:1 | negatives experience:1 | experience rounded:1 | rounded educational:1 | complaint work:1 | work becomes:1 | becomes similar:1 | similar completed:1 | completed several:1 | several visits:1 | visits visits:1 | visits tends:1 | tends follow:1 | follow formula:1 | formula little:1
