academic_year,academic_year_start,agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recommendation_rate,overall_sentiment_score,concern_indicator_count,concern_flag,prepared_for_practice,learning_goals_met,supervision_frequency,supervision_quality,felt_prepared,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,comments_supervisor_polarity,least_helpful_polarity,most_helpful_polarity,other_comments_polarity,recommend_reason_polarity
2014-2015,2014,3 rivers mental health center,3 Rivers Mental Health Center,1,limited,4.0,1.0,0.2681,0,no flag,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,0.0,-0.743,0.7269,0.4215,0.9349
2014-2015,2014,307 therapy,307 Therapy,2,limited,3.8,1.0,0.3706,0,no flag,3.5,4.5,4.0,4.0,3.0,3.0,4.0,4.5,4.5,4.5,5.0,5.0,4.5,3.5,0.0,-0.2464,0.8101,,0.9186
2014-2015,2014,abbie shelter,Abbie Shelter,2,limited,4.2,0.5,0.2732,1,no flag,4.5,5.0,4.0,4.5,3.0,4.5,4.5,5.0,5.0,4.5,5.0,4.0,5.0,4.0,0.0,-0.0917,0.3968,0.6794,0.3814
2014-2015,2014,alaska family services,Alaska Family Services,1,limited,4.4,1.0,0.4339,0,no flag,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,0.6705,-0.3612,0.4754,,0.9509
2014-2015,2014,aware inc,Aware Inc.,1,limited,4.0,1.0,0.4723,0,no flag,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,0.0,0.4215,0.5106,,0.9571
2014-2015,2014,bayview recovery center,Bayview Recovery Center,1,limited,4.8,0.0,0.1757,1,no flag,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,,0.0,0.4754,,0.0516
2014-2015,2014,benefis health system,Benefis Health System,2,limited,4.5,1.0,0.5047,0,no flag,4.5,5.0,5.0,5.0,3.0,4.5,5.0,4.5,5.0,4.5,5.0,5.0,4.5,5.0,0.5906,-0.295,0.7724,,0.9508
2014-2015,2014,big sky palliative & hospice,Big Sky Palliative & Hospice,1,limited,4.0,1.0,0.6083,0,no flag,5.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,,0.3612,0.2732,0.8481,0.9509
2014-2015,2014,brighton recovery center,Brighton Recovery Center,1,limited,4.4,1.0,0.476,0,no flag,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,,-0.2263,0.8271,,0.8271
2014-2015,2014,bureau of indian affairs,Bureau Of Indian Affairs,1,limited,4.8,1.0,0.4023,0,no flag,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,,0.0946,0.4754,,0.6369
2014-2015,2014,california youth services,California Youth Services,1,limited,4.6,0.0,0.012,2,review recommended,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,0.5106,-0.753,0.6997,0.4215,-0.8188
